"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"Musketeers","4","2","8","40","1991","Bluffing","Card Game",,"No","Auction/Bidding","Hand Management","Simultaneous Action Selection","Eagle-Gryphon Games","Hexagames (I)","Pegasus Spiele","6"
"Mustangs","4","2","10","90","1991","Aviation / Flight","Wargame","World War II","Yes","Hex-and-Counter","Simultaneous Action Selection",,"Avalon Hill",,,"6.5"
"Mutant Chronicles Collectible Miniatures Game","2","2","12","60","2008","Collectible Components","Fighting","Horror","No","Action Point Allowance System","Dice Rolling","Grid Movement","Edge Entertainment","Fantasy Flight Games","Galakta","6.2"
"Mutant Chronicles: Siege of the Citadel","5","2","10","120","1993","Science Fiction","Wargame",,"No","Action Point Allowance System","Grid Movement","Modular Board","Casper","Playtoy Industries","Pressman Toy Corp.","7"
"Mutant Crops","4","2","9","40","2016","Economic","Environmental",,"No","Worker Placement",,,"Atheris Games","El Dragón Azul","OK Ediciones","7.6"
"Mutant Meeples","7","2","8","45","2012","Puzzle","Real-time",,"No","Grid Movement","Modular Board","Variable Player Powers","Bézier Games"," Inc.","Pegasus Spiele","6.7"
"Mutiny!","5","2","10","45","2003","Fantasy","Pirates",,"No","Auction/Bidding",,,"Fantasy Flight Games",,,"5.7"
"Mutton","2","2","0","30","2009","Bluffing","Deduction",,"No","Secret Unit Deployment",,,"(Web published)","Gamerz.net","nestorgames","6.5"
"My Dwarves Fly","4","2","10","30","2004","Card Game","Fantasy","Humor","No","Dice Rolling","Hand Management",,"Pegasus Spiele",,,"5.6"
"My First Bohnanza","5","3","4","30","2015","Card Game","Children's Game","Farming","No","Hand Management","Trading",,"AMIGO Spiel + Freizeit GmbH","Rio Grande Games",,"6.6"
"My Happy Farm","4","2","8","45","2011","Animals","Card Game","Children's Game","No","Card Drafting","Hand Management","Set Collection","5th Street Games","Hobby World","IGames","6.6"
"My Village","4","2","12","90","2015","City Building","Dice",,"Yes","Card Drafting","Dice Rolling","Worker Placement","999 Games","eggertspiele","Gigamic","7.1"
"My Word!","6","2","7","30","2001","Card Game","Real-time","Word Game","No","Card Drafting","Pattern Recognition","Set Collection","Out of the Box Publishing",,,"5.7"
"Mykerinos","4","2","10","45","2006","Exploration",,,"Yes","Area Control / Area Influence","Hand Management","Modular Board","HUCH! & friends","Lautapelit.fi","Rio Grande Games","6.9"
"Myrmes","4","2","13","120","2012","Animals","Environmental","Farming","Yes","Action Point Allowance System","Grid Movement","Route/Network Building","Asmodee","Asterion Press","Rio Grande Games","7.3"
"Mysterium","7","2","10","42","2015","Deduction","Murder/Mystery","Party Game","Yes","Co-operative Play","Hand Management","Pattern Recognition","Asmodee","Bergsala Enigma","Esdevium","7.5"
"Mystery Express","5","3","12","90","2010","Deduction","Murder/Mystery",,"No","Action Point Allowance System","Hand Management","Memory","Days of Wonder",,,"6.6"
"Mystery Garden","6","2","4","30","1989","Card Game","Children's Game","Deduction","No","Memory",,,"Bookmark Verlag","Ravensburger Spieleverlag GmbH",,"5.1"
"Mystery Mansion","4","3","8","90","1984","Children's Game","Deduction","Exploration","No","Modular Board",,,"Milton Bradley","Parker Brothers",,"6"
"Mystery of the Abbey","6","3","10","120","1995","Deduction","Medieval","Murder/Mystery","Yes","Area Movement","Hand Management","Paper-and-Pencil","Days of Wonder","Edge Entertainment","Giochi Uniti","6.5"
"Mystery of the Abbey with The Pilgrims' Chronicles","6","3","8","90","2007","Deduction","Medieval","Murder/Mystery","No","Area Movement","Hand Management","Set Collection","Days of Wonder","KDS Distribuzione (Italy)",,"7.1"
"Mystery on the Nile","6","2","10","30","1996","Card Game","Deduction","Memory","No","Memory",,,"Descartes Editeur","Eurogames",,"3.7"
"Mystery Rummy: Al Capone and the Chicago Underworld","4","2","8","40","2003","Card Game","Mafia",,"No","Set Collection",,,"Eagle-Gryphon Games","Pegasus Spiele","U.S. Games Systems","6.9"
"Mystery Rummy: Jack the Ripper","4","2","10","45","1998","Card Game","Murder/Mystery",,"No","Hand Management","Set Collection","Voting","Eagle-Gryphon Games","Edge Entertainment","Kaissa Chess & Games","7"
"Mystery Rummy: Jekyll & Hyde","2","2","10","45","2001","Card Game","Murder/Mystery",,"No","Hand Management","Set Collection",,"Eagle-Gryphon Games","Pegasus Spiele","U.S. Games Systems","6.6"
"Mystery Rummy: Murders in the Rue Morgue","4","2","8","40","1999","Card Game","Murder/Mystery",,"No","Hand Management","Partnerships","Set Collection","Eagle-Gryphon Games","Pegasus Spiele","U.S. Games Systems","6.7"
"Mystic Vale","4","2","14","60","2016","Card Game","Fantasy",,"Yes","Deck / Pool Building","Press Your Luck",,"Alderac Entertainment Group (AEG)","Pegasus Spiele",,"7.3"
"Myth","5","2","12","120","2014","Adventure","Fantasy","Miniatures","Yes","Co-operative Play","Dice Rolling","Grid Movement","MegaCon Games","Heidelberger Spieleverlag","Ulisses Spiele","6.8"
"Myth Fortunes","6","2","10","90","1990","Fantasy","Novel-based",,"No","Roll / Spin and Move",,,"Mayfair Games",,,"4.9"
"Myth: Pantheons","6","3","10","45","2010","Card Game","Mythology",,"Yes","Hand Management","Trick-taking","Variable Player Powers","Alderac Entertainment Group (AEG)",,,"5.6"
"Mythic Battles","4","2","14","45","2012","Ancient","Card Game","Mythology","Yes","Campaign / Battle Card Driven","Dice Rolling","Modular Board","IELLO","Play & Win",,"7"
"Mythology","8","2","12","180","1980","Bluffing","Deduction","Fighting","No","Action / Movement Programming","Betting/Wagering",,"Yaquinto",,,"6.6"
"Mythotopia","4","2","13","120","2014","Card Game","Fantasy","Medieval","No","Area Control / Area Influence","Deck / Pool Building","Hand Management","Treefrog Games",,,"7"
"N.Y. Chase","6","3","10","45","1999","Deduction","Transportation",,"No","Hand Management","Partnerships","Point to Point Movement","Grow Jogos e Brinquedos","Hasbro","Ravensburger Spieleverlag GmbH","6.4"
"Na Grunwald: rycerze króla Jagie??y","4","2","10","60","2010","Medieval",,,"No","Auction/Bidding","Worker Placement",,"Egmont Polska",,,"6.7"
"Na Sygnale","4","2","8","30","2006","Card Game","Humor","Party Game","No","Action Point Allowance System","Dice Rolling","Pick-up and Deliver","Agata Zasowska","Ku?nia Gier",,"4.6"
"Name Burst","10","3","10","30","1992","Party Game","Trivia",,"No","Partnerships",,,"Golden","Hersch and Company",,"6.2"
"Namibia","4","3","12","120","2010","Economic","Trains","Transportation","Yes","Auction/Bidding","Commodity Speculation","Player Elimination","Mücke Spiele",,,"6.3"
"NanoBot Battle Arena","8","2","14","30","2014","Abstract Strategy","Science Fiction","Wargame","No","Area Control / Area Influence","Campaign / Battle Card Driven","Hand Management","Derpy Games"," LLC",,"6.9"
"Nanofictionary","6","3","10","45","2002","Card Game","Party Game",,"Yes","Storytelling",,,"(Web published)","Looney Labs",,"5.9"
"Nanuk","8","5","0","45","2009","Animals","Bluffing","Card Game","Yes","Auction/Bidding","Partnerships","Press Your Luck","Steve Jackson Games",,,"6.2"
"Napoleon and the Archduke Charles: The Battle of Abensberg","2","2","12","90","1987","Napoleonic","Wargame",,"Yes","Dice Rolling","Hex-and-Counter",,"3W (World Wide Wargames)",,,"5.9"
"Napoleon and the Archduke Charles: The Battle of Aspern-Essling","2","2","12","120","1986","Napoleonic","Wargame",,"No","Hex-and-Counter",,,"3W (World Wide Wargames)",,,"6.1"
"Napoleon and the Archduke Charles: The Battle of Eckmuhl","2","2","12","90","1987","Napoleonic","Wargame",,"Yes","Dice Rolling","Hex-and-Counter",,"3W (World Wide Wargames)",,,"6.1"
"Napoleon at Bay: Defend the Gates of Paris","2","2","0","180","1997","Napoleonic","Wargame",,"No","Action Point Allowance System","Hex-and-Counter","Simulation","OSG (Operational Studies Group)",,,"7.6"
"Napoleon at Bay: The Campaign in France","2","2","12","180","1978","Napoleonic","Wargame",,"No","Hex-and-Counter",,,"Avalon Hill","OSG (Operational Studies Group)",,"7"
"Napoleon at the Crossroads","4","2","12","180","2006","Napoleonic","Wargame",,"No","Action Point Allowance System","Hex-and-Counter",,"OSG (Operational Studies Group)",,,"7.3"
"Napoleon at War: Four Battles","2","2","12","90","1975","Napoleonic","Wargame",,"No","Dice Rolling","Hex-and-Counter",,"Hobby Japan","SPI (Simulations Publications"," Inc.)","6.7"
"Napoleon at Waterloo","2","2","10","30","1971","Napoleonic","Wargame",,"Yes","Hex-and-Counter",,,"Decision Games (I)","Hobby Japan","SPI (Simulations Publications","6.6"
"Napoleon in Europe","7","2","10","360","2001","Napoleonic","Political","Wargame","No","Area Movement","Dice Rolling",,"Eagle-Gryphon Games",,,"6.7"
"Napoleon on the Danube","2","2","0","600","1992","Napoleonic","Wargame",,"Yes","Area Movement","Area-Impulse","Hex-and-Counter","New England Simulations",,,"7.1"
"Napoleon: The Waterloo Campaign, 1815","3","2","12","120","1974","Napoleonic","Wargame",,"No","Dice Rolling","Point to Point Movement","Secret Unit Deployment","Avalon Hill","Columbia Games","Gamma Two Games","7.3"
"Napoleon's Art of War: Eylau and Dresden","2","2","14","240","1979","Napoleonic","Wargame",,"No","Hex-and-Counter",,,"SPI (Simulations Publications"," Inc.)",,"6"
"Napoleon's Last Battles","4","2","12","180","1976","Napoleonic","Wargame",,"Yes","Hex-and-Counter",,,"Decision Games (I)","Nike and Cooper Española"," S.A.","7.2"
"Napoleon's Triumph","2","2","12","180","2007","Napoleonic","Wargame",,"No","Area Movement","Secret Unit Deployment","Simulation","Histogame","Simmons Games",,"8"
"Napoleon's War:  The 100 Days","2","2","8","60","2010","Napoleonic","Wargame",,"Yes","Action Point Allowance System",,,"Worthington Games",,,"7.3"
"Narnia Risk Junior","4","2","8","90","2006","Adventure","Children's Game","Fantasy","No","Area Control / Area Influence","Area Movement","Campaign / Battle Card Driven","Hasbro","Parker Brothers","Parker Spiele","5.6"
"Naruto Collectible Card Game","2","2","10","45","2006","Card Game","Collectible Components","Fighting","No","Card Drafting","Hand Management",,"Bandai",,,"5.8"
"NASCAR Champions","5","2","8","30","1998","Dice","Racing","Sports","No","Dice Rolling",,,"Milton Bradley",,,"5.4"
"Nations at War: White Star Rising","2","2","12","120","2010","Wargame","World War II",,"Yes","Chit-Pull System","Hex-and-Counter",,"Lock 'n Load Publishing"," LLC.",,"7.4"
"Nations in Arms: Valmy to Waterloo","7","2","0","3000","2012","Napoleonic","Wargame",,"No","Hex-and-Counter",,,"Compass Games",,,"7.1"
"NATO, Nukes & Nazis","2","2","12","180","1990","Modern Warfare","Wargame",,"No","Hex-and-Counter",,,"One Small Step","XTR Corp",,"7"
"NATO: Operational Combat in Europe in the 1970's","2","2","14","240","1973","Modern Warfare","Wargame",,"No","Hex-and-Counter",,,"SPI (Simulations Publications"," Inc.)",,"6.1"
"NATO: The Next War in Europe","2","2","12","240","1983","Modern Warfare","Wargame",,"No","Hex-and-Counter",,,"Victory Games (I)",,,"6.6"
"Nature of the Beast: City vs. Suburb","4","2","12","60","2005","Animals","Card Game",,"Yes","Area Control / Area Influence","Grid Movement","Take That","Eye-Level Entertainment"," LLP",,"6.6"
"Nature of the Beast: Farm vs. Forest","4","2","12","60","2005","Animals","Card Game",,"Yes","Area Control / Area Influence","Grid Movement","Take That","Eye-Level Entertainment"," LLP",,"6.5"
"Nauticus","4","2","12","90","2013","Economic","Nautical","Transportation","No","Modular Board","Set Collection","Tile Placement","KOSMOS",,,"7"
"Nautilus","4","2","12","120","2002","City Building","Economic","Exploration","No","Set Collection","Tile Placement",,"999 Games","KOSMOS","Mayfair Games","6.4"
"Nautilus Industries","6","2","8","60","2015","Economic","Nautical",,"No","Commodity Speculation","Modular Board","Stock Holding","Lamp Light Games Inc",,,"7"
"Naval Battles","6","2","10","30","2004","Card Game","Wargame","World War II","No","Campaign / Battle Card Driven",,,"Mayfair Games","Phalanx Games B.V.","Zvezda","6"
"Naval War","9","3","12","45","1979","Card Game","Nautical","Wargame","Yes","Hand Management","Take That",,"Avalon Hill","Battleline",,"6.2"
"Navegador","5","2","12","90","2010","Economic","Exploration","Nautical","Yes","Area Movement",,,"Cranio Creations","The Game Master BV","PD-Verlag","7.6"
"Navia Dratp","2","2","8","30","2004","Abstract Strategy","Collectible Components","Fantasy","Yes","Grid Movement",,,"Bandai",,,"7.2"
"Necromancer","2","2","12","60","1982","Fantasy","Horror","Wargame","No","Hex-and-Counter",,,"Steve Jackson Games",,,"6"
"Necromunda","4","2","12","30","1995","Fighting","Miniatures","Science Fiction","Yes","Dice Rolling","Modular Board","Role Playing","Games Workshop Ltd.",,,"7.3"
"NecronomiCards","4","2","10","45","2016","Card Game","Horror","Mythology","Yes","Hand Management","Pattern Recognition","Set Collection","(Self-Published)",,,"7.3"
"Nefarious","6","2","8","45","2011","Card Game","Humor","Science Fiction","Yes","Hand Management","Simultaneous Action Selection",,"Ascora Games","Foxgames (Poland)","Magellan","6.5"
"Nefertiti","4","3","10","45","2008","Ancient",,,"Yes","Auction/Bidding","Set Collection",,"Matagot","Heidelberger Spieleverlag","Rio Grande Games","7"
"Nehemiah","4","2","10","45","2014","Ancient","Card Game","Religious","No","Area Control / Area Influence","Auction/Bidding","Modular Board","Leonardo Games",,,"6.9"
"Neolithibum","6","2","10","40","1991","Action / Dexterity","Party Game","Prehistoric","No","Simultaneous Action Selection",,,"Heidelberger Spieleverlag",,,"5.9"
"Neolithic","2","2","0","45","2016","Card Game","Civilization","Prehistoric","Yes","Deck / Pool Building","Hand Management","Worker Placement","Small Box Games",,,"7.5"
"Neptun","5","3","8","45","2014","Ancient","Nautical",,"Yes","Route/Network Building",,,"Queen Games",,,"6.6"
"Nerdy Inventions","4","2","8","30","2015","Dice",,,"No","Deck / Pool Building","Dice Rolling",,"Homosapiens Lab","Mayday Games",,"5.9"
"Netrunner","2","2","10","45","1996","Card Game","Collectible Components","Science Fiction","Yes","Action Point Allowance System",,,"Wizards of the Coast",,,"7.5"
"Neue Heimat","5","2","10","45","2007","City Building","Economic",,"No","Auction/Bidding",,,"Chili Spiele",,,"7.2"
"Neuland","4","2","12","100","2004","Civilization","Economic",,"No","Action Point Allowance System","Tile Placement","Time Track","eggertspiele","Z-Man Games",,"6.5"
"Neuroshima Hex! Duel","2","2","10","30","2009","Fighting","Science Fiction",,"Yes","Grid Movement","Hand Management","Hex-and-Counter","IELLO","Portal Games","Rocks Games","7.6"
"Neuroshima: Convoy","2","2","10","40","2012","Card Game","Fighting","Science Fiction","No","Area Movement","Hand Management","Take That","IELLO","Portal Games","Z-Man Games","6.9"
"Nevermore","6","3","14","60","2015","Animals","Card Game",,"Yes","Card Drafting","Hand Management","Set Collection","Smirk & Dagger Games",,,"6.8"
"New Amsterdam","5","2","12","90","2012","Economic","Renaissance",,"No","Area Control / Area Influence","Auction/Bidding","Set Collection","Pandasaurus Games","White Goblin Games",,"7.1"
"New Angeles","6","4","14","240","2016","Bluffing","Science Fiction",,"No","Area Control / Area Influence","Variable Player Powers","Voting","Asterion Press","Edge Entertainment","Fantasy Flight Games","7.5"
"New Dawn","4","2","12","120","2014","Dice","Economic","Science Fiction","Yes","Area Control / Area Influence","Hand Management","Tile Placement","Artipia Games","Stronghold Games",,"7"
"New England","4","3","12","90","2003","Economic","Territory Building",,"No","Auction/Bidding","Tile Placement",,"Goldsieber Spiele","Überplay",,"6.5"
"New England Railways","6","3","13","120","2000","Economic","Trains",,"No","Auction/Bidding","Pick-up and Deliver",,"Eagle-Gryphon Games","Winsome Games",,"6.8"
"New Haven","4","2","12","60","2013","City Building",,,"Yes","Tile Placement",,,"R&R Games",,,"6.6"
"New Mouse Trap","4","2","6","30","2004","Action / Dexterity","Animals","Children's Game","No","Dice Rolling","Roll / Spin and Move",,"Hasbro","MB Spellen","MB Spiele","4.4"
"New Orleans Big Band","6","3","10","90","1990","Music",,,"No","Set Collection","Trading",,"ASS Altenburger Spielkarten",,,"5.8"
"New Salem","8","3","14","45","2015","Bluffing","Card Game","City Building","Yes","Card Drafting","Partnerships","Set Collection","Overworld Games","uplay.it edizioni",,"6.6"
"New World","6","2","12","240","1990","Exploration","Renaissance",,"No","Hex-and-Counter",,,"Avalon Hill",,,"6"
"New World: A Carcassonne Game","5","2","8","45","2008","City Building","Exploration",,"No","Area Control / Area Influence","Tile Placement",,"999 Games","Bergsala Enigma","Hans im Glück Verlags-GmbH","6.5"
"New York","6","2","8","60","2011","City Building",,,"No","Card Drafting","Hand Management","Set Collection","Queen Games",,,"6.7"
"New York 1776","2","2","13","120","2014","American Revolutionary War","Wargame",,"No","Area Movement","Dice Rolling","Secret Unit Deployment","Worthington Publishing"," LLC",,"7.2"
"New York 1901","4","2","8","60","2015","City Building",,,"Yes","Card Drafting","Tile Placement",,"ADC Blackfire Entertainment","Bard Centrum Gier","Blue Orange Games","7"
"New York, New York","4","3","8","30","1989","City Building",,,"No","Tile Placement",,,"Dal Negro","F.X. Schmid",,"5.5"
"Nexos","4","2","7","30","2010","Abstract Strategy",,,"No","Tile Placement",,,"Lud Editions","Winning Moves Germany",,"5.9"
"Next War: India-Pakistan","2","2","12","480","2015","Modern Warfare","Wargame",,"Yes","Hex-and-Counter",,,"GMT Games",,,"8.3"
"Next War: Korea","2","2","12","480","2012","Modern Warfare","Wargame",,"Yes","Hex-and-Counter",,,"GMT Games",,,"8"
"Nexus Ops","4","2","12","90","2005","Exploration","Fighting","Science Fiction","No","Area Control / Area Influence","Dice Rolling","Hand Management","Avalon Hill (Hasbro)","Fantasy Flight Games",,"7.3"
"Ney vs. Wellington","2","2","14","180","1979","Napoleonic","Wargame",,"No","Dice Rolling","Hex-and-Counter",,"SPI (Simulations Publications"," Inc.)",,"6.8"
"NFL Strategy","2","2","10","150","1970","Sports",,,"No","Simultaneous Action Selection",,,"Tudor Games",,,"6.7"
"NHL Power Play Team-Building Card Game","4","2","15","30","2014","Card Game","Sports",,"Yes","Deck / Pool Building",,,"Cryptozoic Entertainment",,,"7.1"
"Niagara","5","3","8","45","2004","Exploration","Nautical",,"Yes","Hand Management","Pick-up and Deliver","Set Collection","999 Games","Competo / Marektoy","Egmont Polska","6.5"
"Nicaragua","2","2","12","180","1988","Modern Warfare","Political","Wargame","No","Area Movement",,,"3W (World Wide Wargames)",,,"6.4"
"Nicht die Bohne!","6","3","10","45","1999","Card Game",,,"No","Simultaneous Action Selection","Trading",,"AMIGO Spiel + Freizeit GmbH","Korea Boardgames co."," Ltd.","6.4"
"Nichtlustig","4","2","10","30","2007","Dice","Humor",,"No","Dice Rolling",,,"KOSMOS",,,"5.2"
"NichtLustig: Labor Chaos","6","3","8","30","2009","Card Game","Comic Book / Strip","Party Game","No","Hand Management",,,"KOSMOS",,,"5.4"
"Night Drop: 6 June 44","2","2","0","180","2012","Wargame","World War II",,"No","Hex-and-Counter",,,"Battles Magazine",,,"7.4"
"Nightfall","5","2","12","45","2011","Card Game","Fantasy","Fighting","Yes","Card Drafting","Deck / Pool Building","Hand Management","Alderac Entertainment Group (AEG)","Galmadrin","IELLO","6.5"
"Nightfall: Eastern Skies","5","2","12","45","2013","Bluffing","Card Game",,"Yes","Card Drafting","Deck / Pool Building","Hand Management","Alderac Entertainment Group (AEG)",,,"7.7"
"Nightfall: Martial Law","5","2","12","45","2011","Card Game","Fantasy","Fighting","Yes","Card Drafting","Deck / Pool Building","Hand Management","Alderac Entertainment Group (AEG)","IELLO",,"7.1"
"Nightfall: The Coldest War","5","2","12","45","2012","Card Game","Fantasy","Fighting","Yes","Card Drafting","Deck / Pool Building","Hand Management","Alderac Entertainment Group (AEG)",,,"7.3"
"Nightmare","6","2","12","60","1991","Adventure","Dice","Horror","Yes","Dice Rolling","Roll / Spin and Move",,"(Unknown)","A Couple of Cowboys","AS Company","5.7"
"Nightmarium","5","2","10","30","2014","Card Game","Fantasy",,"No","Hand Management","Set Collection",,"Igrology","Magellan",,"7.2"
"Nika","4","2","8","30","2014","Abstract Strategy","Ancient",,"Yes","Grid Movement","Partnerships",,"Eagle-Gryphon Games",,,"6.7"
"Nile","5","2","8","30","2009","Ancient","Card Game","Farming","No","Card Drafting","Commodity Speculation","Hand Management","Minion Games",,,"6.2"
"Nile DeLuxor","6","2","8","30","2011","Ancient","Card Game","Farming","No","Card Drafting","Commodity Speculation","Hand Management","Minion Games","White Goblin Games",,"6.6"
"Nine Worlds","6","2","12","90","2016","Fantasy","Fighting","Mythology","No","Area Movement","Variable Player Powers",,"Medusa Games",,,"6.9"
"Ninety-Nine","4","2","8","60","1967","Card Game",,,"No","Betting/Wagering","Hand Management","Trick-taking","(Public Domain)",,,"7.3"
"Ninja All-Stars","4","2","13","90","2015","Adventure","Collectible Components","Fantasy","Yes","Dice Rolling","Grid Movement",,"Edge Entertainment","Heidelberger Spieleverlag","Ninja Division","6.8"
"Ninja Burger","6","3","12","60","2003","Card Game","Humor",,"Yes","Dice Rolling","Hand Management","Pick-up and Deliver","Steve Jackson Games",,,"5.6"
"Ninja Camp","4","2","14","30","2016","Abstract Strategy","Card Game",,"Yes","Hand Management","Modular Board","Variable Player Powers","Action Phase Games","Portal Games",,"7"
"Ninja Dice","5","2","9","30","2013","Ancient","Dice","Party Game","Yes","Dice Rolling","Press Your Luck",,"Edge Entertainment","Greenbrier Games","Heidelberger Spieleverlag","6.1"
"Ninja Galaxy","4","2","0","30","2006","Science Fiction",,,"No","Roll / Spin and Move",,,"Stein-Thompson Games",,,"3.3"
"Ninja: Legend of the Scorpion Clan","4","2","12","45","2011","Deduction","Fantasy",,"Yes","Area Movement","Secret Unit Deployment",,"Alderac Entertainment Group (AEG)",,,"6.6"
"Ninjato","4","2","12","60","2011","Fighting","Medieval","Political","No","Card Drafting","Press Your Luck","Set Collection","CrossCut Games","IELLO","White Goblin Games","7.3"
"Nippon","4","2","12","120","2015","Economic","Industry / Manufacturing",,"No","Area Control / Area Influence","Variable Phase Order",,"What's Your Game?","Asmodee","Ghenos Games","7.8"
"Nippon Rails","4","2","10","240","1992","Economic","Trains","Transportation","No","Crayon Rail System","Pick-up and Deliver","Route/Network Building","Mayfair Games",,,"6.8"
"Nitro Dice","6","2","9","60","2011","Card Game","Racing",,"No","Action Point Allowance System","Hand Management","Modular Board","Minion Games",,,"5.7"
"No Better Place to Die","2","2","0","360","1994","American Civil War","Wargame",,"No","Hex-and-Counter","Simulation",,"The Gamers","Multi-Man Publishing",,"7.2"
"No Peace Without Spain!","2","2","12","240","2011","Age of Reason","Wargame",,"No","Campaign / Battle Card Driven","Point to Point Movement",,"Compass Games",,,"7.6"
"No Retreat! The North African Front","2","2","12","180","2013","Wargame","World War II",,"No","Hex-and-Counter",,,"GMT Games",,,"7.5"
"No Stress Chess","2","2","7","60","2004","Abstract Strategy",,,"No","Grid Movement",,,"Korea Boardgames co."," Ltd.","Winning Moves Games (USA)","6.4"
"No Thanks!","7","3","8","30","2004","Card Game",,,"No","Auction/Bidding","Press Your Luck","Set Collection","AMIGO Spiel + Freizeit GmbH","999 Games","Asmodee","7"
"No Trumpets No Drums","2","2","12","240","1982","Vietnam War","Wargame",,"No","Hex-and-Counter",,,"3W (World Wide Wargames)","One Small Step",,"6.6"
"Noah","5","2","7","30","2012","Animals","Card Game",,"Yes","Hand Management",,,"Bombyx","Asmodee","Jolly Thinkers","6.5"
"Noble Treachery: The Last Alliance","6","4","12","45","2014","Card Game","Dice","Fantasy","No","Betting/Wagering","Dice Rolling","Hand Management","Great Northern Games",,,"6.9"
"Noblemen","5","3","12","120","2012","Medieval","Territory Building",,"No","Card Drafting","Tile Placement",,"Pegasus Spiele","Tasty Minstrel Games",,"7"
"Nomads of Arabia: The Wandering Herds Game","6","3","10","45","2006","Arabian","Economic",,"No","Dice Rolling","Modular Board",,"Wattsalpoag Games",,,"6.1"
"Non-Violent, Politically-Correct War","4","2","4","30","1996","Card Game","Negotiation",,"No","Co-operative Play",,,"University Games",,,"2.9"
"None But Heroes","2","2","15","60","2011","American Civil War","Civil War","Wargame","No","Dice Rolling","Hex-and-Counter",,"Multi-Man Publishing",,,"8.1"
"NoNo","8","3","8","30","2006","Card Game","Dice","Trivia","No","Dice Rolling",,,"Albi","Phalanx Games B.V.",,"5.7"
"Nordkapp","2","2","12","240","1983","Modern Warfare","Wargame",,"No","Hex-and-Counter",,,"TSR",,,"6.8"
"Norenberc","5","2","12","90","2010","Economic","Medieval",,"Yes","Set Collection","Simultaneous Action Selection","Worker Placement","HUCH! & friends","White Goblin Games",,"6.9"
"Normandy","2","2","12","150","1971","Wargame","World War II",,"No","Hex-and-Counter","Simulation",,"SPI (Simulations Publications"," Inc.)",,"5.8"
"Normandy '44","4","2","0","420","2010","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter",,"GMT Games",,,"7.8"
"Norsaga","4","2","8","30","2015","Card Game","Fantasy","Medieval","Yes","Hand Management","Set Collection","Variable Player Powers","Meromorph Games",,,"6.4"
"North American Rails","6","2","12","120","1992","Economic","Trains","Transportation","No","Crayon Rail System","Pick-up and Deliver","Route/Network Building","Mayfair Games",,,"6.8"
"North American Railways","5","3","12","90","2016","Card Game","Economic",,"No","Auction/Bidding","Route/Network Building","Stock Holding","Spielworxx",,,"6.9"
"North German Plain","2","2","12","120","1988","Modern Warfare","Wargame",,"No","Hex-and-Counter",,,"3W (World Wide Wargames)",,,"6.3"
"North Pole","6","2","9","30","2011","Card Game","Exploration","Number","No","Card Drafting","Hand Management","Modular Board","Cambridge Games Factory",,,"6.3"
"North Wind","4","2","10","60","2014","Pirates",,,"No","Dice Rolling","Memory","Press Your Luck","999 Games","Devir","KOSMOS","6.4"
"Northwest Passage Adventure","4","2","10","40","2012","Adventure","Exploration","Nautical","No","Action Point Allowance System","Grid Movement","Hand Management","Gen-X Games",,,"6.4"
"Nostra City","5","3","12","60","2009","Card Game","Mafia","Negotiation","Yes","Auction/Bidding","Partnerships","Variable Player Powers","Asmodee","Hazgaard Editions",,"6.4"
"Not Alone","7","2","10","45","2016","Bluffing","Card Game","Science Fiction","Yes","Action / Movement Programming","Deck / Pool Building","Hand Management","Corax Games","Games Factory Publishing","GDM Games","7.3"
"Not War But Murder","2","2","12","240","2007","American Civil War","Wargame",,"No","Area-Impulse","Hex-and-Counter",,"Against the Odds","LPS"," Inc.","7"
"Noteability","6","3","12","30","1990","Music","Party Game",,"No","Singing",,,"Casper","Schmidt Spiele","Schoenberger Productions","4.4"
"Nothing Gained But Glory","2","2","0","300","2010","Pike and Shot","Wargame",,"No","Dice Rolling","Hex-and-Counter","Simulation","GMT Games",,,"7.7"
"Nothing Personal","5","3","8","120","2013","Mafia","Negotiation",,"Yes","Area Control / Area Influence","Dice Rolling","Hand Management","Dice Tower Games","Game Salute",,"7.2"
"Notre Dame","5","2","10","75","2007","Economic","Renaissance",,"Yes","Area Control / Area Influence","Card Drafting","Point to Point Movement","alea","Ravensburger Spieleverlag GmbH","Filosofia Éditions","7.4"
"Nottingham","7","3","10","30","2006","Card Game",,,"No","Auction/Bidding","Hand Management","Set Collection","ABACUSSPIELE","Überplay",,"6.3"
"Nova Cry","6","2","12","90","2016","Card Game","Science Fiction",,"Yes","Auction/Bidding","Dice Rolling","Hand Management","World Within",,,"5.9"
"Noxford","4","2","8","40","2016","Card Game","Territory Building",,"Yes","Area Control / Area Influence","Hand Management","Tile Placement","Capsicum Games",,,"6.4"
"Nuclear Escalation","6","2","10","30","1983","Card Game","Modern Warfare","Negotiation","Yes","Hand Management","Take That",,"Flying Buffalo"," Inc. (FBI)",,"6.6"
"Nuclear Proliferation","6","2","10","30","1992","Card Game","Modern Warfare","Negotiation","Yes","Hand Management","Take That","Variable Player Powers","Flying Buffalo"," Inc. (FBI)",,"6.6"
"Nuclear War","6","2","10","60","1965","Card Game","Modern Warfare","Negotiation","Yes","Action / Movement Programming","Take That",,"Flying Buffalo"," Inc. (FBI)",,"6.2"
