"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"Dark Blades","8","2","12","120","1986","Fantasy","Medieval","Wargame","Yes","Hex-and-Counter",,,"Standard Games and Publications"," Ltd.","Welt der Spiele","6.6"
"Dark Cults","2","2","10","60","1983","Card Game","Horror",,"No","Storytelling",,,"Dark House",,,"6.8"
"Dark Darker Darkest","5","2","12","120","2013","Adventure","Exploration","Fighting","Yes","Action Point Allowance System","Area Movement","Co-operative Play","Queen Games",,,"6.5"
"Dark Deeds","5","2","0","60","2016","Card Game",,,"Yes","Card Drafting","Hand Management",,"Games & Gears LLP",,,"8"
"Dark Eden","4","2","12","30","1997","Card Game","Collectible Components","Fighting","No","Hand Management","Variable Player Powers",,"Target Games","Truant Spiele",,"6.5"
"Dark Emperor","2","2","12","120","1985","Fantasy","Wargame",,"No","Action Point Allowance System","Dice Rolling","Hex-and-Counter","Avalon Hill",,,"5.5"
"Dark Gothic","6","2","12","45","2014","Card Game","Horror",,"Yes","Deck / Pool Building",,,"Flying Frog Productions",,,"7"
"Dark Mages","8","2","13","60","2016","Card Game","Fantasy",,"No","Dice Rolling","Hand Management","Player Elimination","Bleem Divertissements Inc.",,,"7"
"Dark Millennium: The Warhammer 40,000 Collectible Card Game","2","2","10","45","2005","Card Game","Collectible Components","Fantasy","No","Area Movement","Secret Unit Deployment","Variable Phase Order","Games Workshop Ltd.","Sabertooth Games",,"6"
"Dark Minions","5","3","10","60","2011","Dice","Fantasy",,"No","Dice Rolling","Worker Placement",,"Z-Man Games",,,"6.2"
"Dark Moon","7","3","12","75","2011","Bluffing","Deduction","Dice","No","Dice Rolling","Partnerships","Role Playing","Stronghold Games","(Web published)","kártyagyár","7.1"
"Dark Nebula","2","2","12","90","1980","Science Fiction","Wargame",,"No","Hex-and-Counter","Modular Board","Point to Point Movement","GDW Games","Kokusai-Tsushin Co."," Ltd. (?????)","6.3"
"Dark Seas","4","2","14","45","2015","Dice","Pirates",,"No","Dice Rolling","Partnerships","Tile Placement","Alderac Entertainment Group (AEG)",,,"6.3"
"Dark Tales","4","2","14","30","2014","Card Game",,,"Yes","Hand Management","Set Collection",,"dV Giochi","Edge Entertainment","Hobby World","6.6"
"Dark World","5","2","10","90","1992","Adventure","Exploration","Fantasy","Yes","Dice Rolling","Grid Movement",,"AS Company","Canada Games","Crown & Andrews Ltd.","5.2"
"Darkness Comes Rattling","6","2","0","120","2015","Fantasy",,,"No","Co-operative Play",,,"Wyrd Miniatures",,,"6.8"
"Dart Wars","5","2","8","30","2006","Action / Dexterity","Fighting","Wargame","No","Tile Placement",,,"Asmodee","Kaissa Chess & Games","Squale Games","5.3"
"Das Amulett","6","3","12","60","2001","Fantasy",,,"No","Auction/Bidding","Set Collection","Variable Player Powers","Goldsieber Spiele",,,"6.5"
"Das Blaue Amulett","4","2","10","60","1986","Fantasy","Racing",,"No","Hand Management",,,"Dourios","Noris Spiele",,"5.7"
"Das Kollier","6","3","10","30","2000","Card Game","Economic",,"No","Auction/Bidding","Set Collection",,"Schmidt Spiele",,,"5.5"
"Das Letzte Kamel","6","2","8","45","1989","Arabian",,,"No","Roll / Spin and Move",,,"F.X. Schmid",,,"5.4"
"Das Motorsportspiel","12","2","10","120","1995","Racing","Real-time","Sports","No","Roll / Spin and Move","Simulation",,"Professional Motor Sports Games",,,"7.5"
