Manga Title,Anime Title,Season,Genre-1,Genre-2,Genre-3,Demographic,Studio,Manga Sales Pre-Anime,Platform_ABEMA_JP,Rating_ABEMA_JP,Platform_TV_JP,Rating_TV_JP,Platform_Crunchyroll_US,Rating_Crunchyroll_US,Platform_Netflix_US,Rating_Netflix_US,Platform_Netflix_PH,Rating_Netflix_PH,Platform_Bilibili_PH,Rating_Bilibili_PH
,Barakamon,SUMMER,Slice of Life,Comedy,,Seinen,Kinema Citrus,,,,,,,,,,,,,
,Requiem of the Rose King,WINTER,Action,Drama,Supernatural,Shoujo,J.C.STAFF,,,,,,,,,,,,,
,Bartender,FALL,Drama,Slice of Life,,Seinen,Palm Studio,,,,,,,,,,,,,
,BEASTARS,FALL,Drama,Mystery,Psychological,Shounen,Orange,,,,,,,,,,,,,
,BEATLESS,WINTER,Action,Drama,Romance,Seinen,diomedéa,,,,,,,,,,,,,
,Beck: Mongolian Chop Squad,FALL,Comedy,Drama,Music,Shounen,MADHOUSE,,,,,,,,,,,,,
,Beelzebub,WINTER,Action,Comedy,Supernatural,Shounen,Studio Signpost,,,,,,,,,,,,,
,As Miss Beelzebub Likes it.,FALL,Comedy,Fantasy,Romance,Shounen,LIDENFILMS,,,,,,,,,,,,,
,Handyman Saitou in Another World,WINTER,Adventure,Comedy,Fantasy,Seinen,C2C,,,,,,,,,,,,,
,Berserk,FALL,Action,Adventure,Drama,Seinen,OLM,,,,,,,,,,,,,
,Big X,SPRING,Action,Sci-Fi,,Shounen,Tokyo Movie Shinsha,,,,,,,,,,,,,
,Binbou Shimai Monogatari,SUMMER,Comedy,Drama,Slice of Life,Seinen,Toei Animation,,,,,,,,,,,,,
,Good Luck Girl!,SUMMER,Adventure,Comedy,Supernatural,Shounen,Sunrise,,,,,,,,,,,,,
,Sailor Moon,WINTER,Action,Adventure,Fantasy,Shoujo,Toei Animation,,,,,,,,,,,,,
,Black Blood Brothers,FALL,Action,Comedy,Fantasy,Seinen,Group TAC,,,,,,,,,,,,,
,Black Bullet,SPRING,Action,Drama,Mystery,Seinen,Kinema Citrus,,,,,,,,,,,,,
,Black Clover,FALL,Action,Adventure,Comedy,Shounen,Studio Pierrot,,,,,,,,,,,,,
,Black Lagoon,SPRING,Action,Adventure,Drama,Seinen,MADHOUSE,,,,,,,,,,,,,
,Bleach,FALL,Action,Adventure,Supernatural,Shounen,Studio Pierrot,,,,,,,,,,,,,
,BLEND-S,FALL,Comedy,Slice of Life,,Seinen,A-1 Pictures,,,,,,,,,,,,,
,Blood Lad,SUMMER,Action,Adventure,Comedy,Seinen,Brain's Base,,,,,,,,,,,,,
,Blood-C,SUMMER,Action,Horror,Mystery,Shounen,Production I.G,,,,,,,,,,,,,
,Blood+,FALL,Action,Drama,Horror,Seinen,Production I.G,,,,,,,,,,,,,
,BLUE LOCK,FALL,Action,Drama,Sports,Shounen,8-bit,,,,,,,,,,,,,
,Blue Period,FALL,Drama,Slice of Life,,Seinen,Seven Arcs,,,,,,,,,,,,,
,BNA,SPRING,Action,Comedy,Fantasy,Seinen,TRIGGER,,,,,,,,,,,,,
,Bobobo-bo Bo-bobo,FALL,Adventure,Comedy,Sci-Fi,Shounen,Toei Animation,,,,,,,,,,,,,
,BOCCHI THE ROCK!,FALL,Comedy,Music,Slice of Life,Seinen,CloverWorks,,,,,,,,,,,,,
,ERASED,WINTER,Drama,Mystery,Psychological,Seinen,A-1 Pictures,,,,,,,,,,,,,
,My Hero Academia,SPRING,Action,Adventure,Comedy,Shounen,bones,,,,,,,,,,,,,
,A Destructive God Sits Next to Me,WINTER,Comedy,Slice of Life,Slice of Life,Shoujo,EMT Squared,,,,,,,,,,,,,
,ME & ROBOCO,WINTER,Comedy,Slice of Life,,Shounen,Studio Gallop,,,,,,,,,,,,,
,We Were There,SUMMER,Drama,Romance,Slice of Life,Shoujo,Artland,,,,,,,,,,,,,
,The Kawai Complex Guide to Manors and Hostel Behavior,SPRING,Comedy,Romance,Slice of Life,Seinen,Brain's Base,,,,,,,,,,,,,
,Remake Our Life!,SUMMER,Drama,Romance,Slice of Life,Seinen,feel.,,,,,,,,,,,,,
,Boogiepop and Others,WINTER,Horror,Mystery,Psychological,Seinen,MADHOUSE,,,,,,,,,,,,,
,Boys Be...,SPRING,Comedy,Romance,Slice of Life,Shounen,Hal Film Maker,,,,,,,,,,,,,
,Brain Powerd,SPRING,Action,Adventure,Mecha,Shounen,Sunrise,,,,,,,,,,,,,
,Brave 10,WINTER,Action,Adventure,Samurai,Seinen,Studio Saki Makura,,,,,,,,,,,,,
,Broken Blade,SPRING,Action,Fantasy,Mecha,Shounen,Production I.G,,,,,,,,,,,,,
,Brigadoon,SUMMER,Adventure,Comedy,Drama,Shounen,Sunrise,,,,,,,,,,,,,
