Name,Max Players,Play Time,Min Age,Rating Average,Complexity Average,Mechanics,no. of mechanics
1914: Offensive à outrance,4,17280,0,7,6037,Dice Rolling,12
1914: Serbien Muss Sterbien,2,360,14,7,7058,Dice Rolling,3
1914: Twilight in the East,6,4000,12,8,4425,Acting,2
1918: Brother Against Brother,2,180,12,7,6933,Crayon Rail System,4
1918: Operation Michel,2,180,12,6,13113,Action Points,4
1918: Storm in the West,2,240,12,6,5954,Dice Rolling,8
1920 Wall Street,5,60,12,6,3699,Dice Rolling,4
1936: Guerra Civil,2,90,12,7,3583,Card Drafting,1
1939-45 Harc Európáért,5,360,13,7,13583,Action Points,11
1940: The Fall of France - A Panzer Grenadier Game,2,120,0,7,6554, Cooperative Game,3
1940: What If Germany Went East?,4,240,12,6,13789,Hexagon Grid,2
1941: Operation Barbarossa,2,120,12,6,8122,Voting,1
1941: Race to Moscow,4,120,14,8,11566,Action Points,7
1944: Race to the Rhine,3,90,14,7,1711, Variable Player Powers,1
1944: Second Front,2,300,12,4,17910,Dice Rolling,6
1955: The War of Espionage,2,45,13,6,7067,Dice Rolling,7
1960: The Making of the President,2,120,12,7,204,Pattern Recognition,3
1972: The Lost Phantom,1,90,0,7,7823,I Cut You Choose,4
1984: Animal Farm,5,90,12,5,16832,Cooperative Game,3
1985: Deadly Northern Lights,4,5000,0,8,9052,Action Points,10
1985: Under an Iron Sky,6,8640,16,9,6520,Modular Board,3
1987 Channel Tunnel,2,45,12,7,3578,Point to Point Movement,4
1st & Goal,4,150,13,6,2329,Pattern Recognition,1
1st & Roll,4,60,14,7,5801,Dice Rolling,1
20 Questions,7,30,8,5,11278,Pattern Building,3
2019: The ARCTIC,4,120,12,6,6840,Auction/Bidding,7
2038: Tycoons of the Asteroid Belt,6,360,14,7,3502,Dice Rolling,1
20th Century,5,120,13,6,1686,Dice Rolling,5
20th Century Limited,5,60,14,6,5343,Action Points,5
21 Days,4,45,10,6,8634,Dice Rolling,5
221B Baker Street: The Master Detective Game,6,90,10,5,4361, Hand Management,2
24 Game,8,20,9,5,13554,Grid Movement,4
24/7: The Game,4,20,8,6,6551,Area Majority / Influence,7
2491 Planetship,5,90,14,7,12534,Deck Bag and Pool Building,4
24h,4,30,12,6,11012,Dice Rolling,8
25 Words or Less: People,4,99,30,33,90,Action Queue,6
27th Passenger: A Hunt on Rails,6,45,10,6,5162,Hand Management,4
2GM Pacific,4,90,12,8,8482,Card Drafting,4
2GM Tactics,4,120,12,7,3093,Hexagon Grid,2
2nd Fleet: Modern Naval Combat in the North Atlantic,2,240,12,7,2759,Campaign / Battle Card Driven,4
2WW: The War in Europe,3,120,12,7,11337,Dice Rolling,5
3 Kings,8,90,14,6,8588,Area Movement,5
3 Laws of Robotics,8,45,13,6,12997,Action Queue,11
3 Man Chess,3,60,0,6,13085,Dice Rolling,4
3 Secrets,8,15,14,6,7042, Paper-and-Pencil,2
3 Secrets: Crime Time,8,15,14,6,12458,Cooperative Game,2
3 Seeds: Reap Where You Sow,5,45,12,5,16386,Hand Management,1
3 SPOT game,2,10,6,5,17331,Flicking,5
3 Stones,2,30,8,6,11381,Grid Movement,4
3-D Chess,2,90,0,5,14675,Card Drafting,9
30 Carats,6,40,9,6,11299,Pattern Building,3
30 Second Mysteries,2,10,12,4,19585,Customizable Games,1
30 Seconds,24,30,12,6,3548,Grid Movement,6
30 Seconds Junior,20,30,7,6,13519,Dice Rolling,1
30 Seconds: Everyday Life,28,30,12,7,8571,Auction/Bidding,4
300: The Board Game,4,30,17,5,12125,Cooperative Game,4
32 Dice,2,30,8,6,14938,Card Drafting,5
3D Labyrinth,4,30,5,5,19340,Grid Movement,4
3UP 3DOWN,6,15,7,5,16841,Area Majority / Influence,6
3x8,4,30,8,5,14764,Auction/Bidding,1
4 First Games,6,15,3,4,19393,Dice Rolling,2
4 Gods,4,30,8,6,5106,Dice Rolling,10
4 Monkeys,4,20,8,5,13611,Pattern Recognition,3
4 Player Chess,4,45,8,5,8969,Card Drafting,4
4 Seasons,4,30,10,6,14293,Betting and Bluffing,3
4 the Birds,6,30,8,5,14458,Area Majority / Influence,1
4000 A.D.,4,90,10,5,18816,Hexagon Grid,2
404: Law Not Found,6,60,12,5,15378,Card Drafting,2
48th Panzerkorps,2,240,12,6,9777,Area Majority / Influence,5
4th Corner,8,20,8,4,18438,Card Drafting,11
4th Dimension,2,45,12,5,18151,Grid Movement,2
4th Reich: Puremen vs. the Mutants for Control of the World,2,120,12,5,18805,Action Points,7
4th Street Pro Football,2,180,10,7,10601,Card Drafting,10
5 COLORS,5,15,7,6,10138,Pattern Recognition,5
5 Minute Chase,4,15,8,5,8768,Action Points,8
5 Second Rule,6,30,10,5,19471,Dice Rolling,3
5 sekund bez cenzury,30,60,18,4,18899,Roll / Spin and Move,3
5-Minute Dungeon,5,30,8,7,753,Cooperative Game,2
5-Minute Mystery,4,30,8,7,2590, Tile Placement,1
50 Clues: The Fate of Leopold,5,90,16,6,7920,Cooperative Game,4
50 Clues: The Home Temple,5,20,16,6,10668,Cooperative Game,6
50 Clues: The Pendulum of the Dead,5,90,16,6,5682, Card Drafting,2
50 Clues: White Sleep,5,90,16,6,6591,Cooperative Game,5
500 Malicious Cards,20,120,18,4,18608,Hand Management,3
51st State,4,90,10,6,1309,Betting and Bluffing,2
59 Seconds,2,10,8,4,18863,Dice Rolling,2
5ive Straight,9,20,7,6,6965, Tile Placement,2
5ive: King's Court,4,30,6,6,13160,Hand Management,4
5x15,1,20,8,7,11941,Modular Board,2
5x5 City,4,30,8,6,7675,Auction/Bidding,9
6 Billion,5,120,12,5,18561,Cooperative Game,4
6 Castles,4,60,8,7,7793,Hand Management,3
6 nimmt!,10,45,8,6,596,Area Majority / Influence,4
6 nimmt! Junior,5,20,5,5,14322,Set Collection,1
60 Seconds to Save the World,6,45,14,5,18407,Cooperative Game,2
65: Squad-Level Combat in the Jungles of Vietnam,3,180,12,7,5434,Area Movement,3
7 & 7,5,20,13,7,12417,Memory,3
7 Ages,7,480,14,7,2093, Dice Rolling,2
7 Days of Westerplatte,4,60,8,6,5082,Area Majority / Influence,6
